PLAYER,TEAM,OFFRTG,DEFRTG,NETRTG,AST%,ASTTO,ASTRAT,OREB%,DREB%,REB%,TORAT,EFG%,TS%,USG%,PACE,PIE,POSS
Ty Jerome,PHX,97.4,110.9,-13.5,22.2,2.44,24.2,1.9,12,6.6,9.9,39.8,42.5,17,103.08,6.6,700
Jordan McLaughlin,MIN,105.3,111.1,-5.8,30.3,4.03,35.8,1,7.9,4,8.9,57,58.7,15.1,106.5,11,1313
Naz Reid,MIN,108.4,107.6,0.7,10.6,1.59,10.9,6,17.6,11.5,6.8,47.7,50.5,23.4,105.6,8.5,1089
Wenyen Gabriel,POR,104.6,111.9,-7.2,4.6,0.5,9.8,8,14.8,11,19.5,50,54.6,12.4,106.25,4.3,517
Anžejs Pase??iks,WAS,109.6,109.4,0.2,5.8,0.75,9.9,8.6,15.3,11.7,13.2,52.6,55.1,15.1,104.65,5.7,950
Norvel Pelle,PHI,101.2,116.9,-15.7,4.9,0.44,9.9,8.1,22,14.9,22.2,52.1,52.6,13.1,100.67,4.7,487
Zion Williamson,NOP,112,106.9,5.1,11.9,0.85,9.1,9.2,11.4,10.4,10.8,59.2,61.6,29.1,107.01,14.1,1483
Vincent Poirier,BOS,99.7,106.1,-6.5,8.8,1,14.5,9,19.5,14.4,14.5,48.6,52.5,14.1,108.38,7.7,293
Juwan Morgan,UTA,112.3,100.3,12,5.3,1,15,7,12.8,10,15,63.5,64.8,10.1,105.13,6.1,292
Rayjon Tucker,UTA,106.3,113.3,-6.9,4.3,0.63,7.6,1.7,11.3,6.1,12.1,50,58.4,15.2,103.31,6.8,348
John Konchar,MEM,109.7,104.8,4.9,16.1,3.14,33.3,9.3,15.2,12.2,10.6,71.6,71.3,9.7,101.51,13.1,391
Oshae Brissett,TOR,108.1,96.5,11.6,7.4,1,12.7,6.3,10.9,8.7,12.7,40.3,45.8,14.5,100.75,4.2,284
Amir Coffey,LAC,104.1,104.6,-0.5,13.9,1.75,17.3,2.5,6.6,4.7,9.9,48.1,49.3,17.4,104.61,4.7,345
Caleb Martin,CHA,103.2,102.4,0.8,12.2,1.53,17.4,3,8.6,5.8,11.4,56,59.5,15.2,95.85,7.7,633
Garrison Mathews,WAS,111.8,104.7,7.1,6.3,1.25,11.6,2.5,7.5,5,9.3,59.8,69.1,13.7,103.85,7.8,492
Keldon Johnson,SAS,114.7,103.4,11.3,6.6,1.15,10.9,3.3,14.6,9.2,9.5,66.9,71.1,16.4,108.34,11.2,674
Jalen McDaniels,CHA,105.3,108.8,-3.6,6.9,1.18,12.9,5,17.2,11,10.9,53.6,57.4,13.1,96.06,7.5,586
Jaylen Nowell,MIN,99.7,98.5,1.2,19.4,6.33,23.2,1.6,6.5,3.8,3.7,38.7,47.1,16.5,107.46,8,342
Nic Claxton,BKN,94.1,109.7,-15.6,14.2,1.78,19.5,9,11.2,10.1,11,57.3,57.7,14.4,105.2,9.2,408
Alen Smailagic,GSW,106.3,109.2,-3,13.3,1.18,18.1,7.7,11,9.5,15.3,53.8,61,17.5,104.89,8.9,304
Vlatko ?an?ar,DEN,104.1,110.1,-6,8.6,1,13,10.9,11.9,11.4,13,43.3,50.7,17.7,103.57,5.2,97
DaQuan Jeffries,SAC,112.9,109.8,3,6,3.5,13.5,2.1,10.5,6.3,3.8,56.3,58.6,12.9,109.7,5.6,319
Jaylen Hoard,POR,112.1,109.1,3,5.4,1,8.9,11.1,15.8,13.3,8.9,46.9,50.4,15.3,103.22,8.8,223
Juan Toscano-Anderson,GSW,99.5,111.5,-12,14.4,1.63,24.3,3.1,16.3,9.3,15,52.4,52.9,12.5,100.55,7.4,565
Michael Frazier II,HOU,94.2,110.2,-16,2.1,0.4,4.7,0.6,6.7,3.3,11.6,31,38.4,11.5,109.73,-2.4,328
Tyler Cook,DEN,107.9,117.6,-9.8,3.1,0.33,5,10.3,14.8,12.5,15,66.7,74.1,15,103.42,10.1,114
Dean Wade,CLE,107,113.5,-6.5,3.9,0.67,11.1,3.8,21.3,12.3,16.7,76.9,74.4,9.1,105.19,8.9,157
Mfiondu Kabengele,LAC,104.4,103.6,0.8,5,1,5.3,1.7,15.9,8.9,5.3,57.8,61.4,24.2,101.34,11.2,135
Adam Mokoka,CHI,121.4,104.4,17.1,4.3,2,11.4,5.7,2.9,4.4,5.7,53.6,53.8,11,100.37,2.3,238
Devon Hall,OKC,98.4,94.6,3.8,21.7,2.6,25,1.9,6,3.7,9.6,26.7,29.8,18.2,110.58,1.5,187
Quinndary Weatherspoon,SAS,98.4,112.1,-13.7,18.3,2.2,32.4,1.1,7.4,4.1,14.7,32.4,33.6,10.7,112.99,2.1,184
Tremont Waters,BOS,107.6,99.2,8.4,19.5,1.07,19,0,8.9,4.6,17.9,32.7,38.1,23.2,100.94,3.7,249
Charlie Brown Jr.,ATL,106.9,73,33.9,7.7,0.67,7.7,4,4.8,4.3,11.5,39.5,47.2,23.1,104.41,7.8,87
Jordan Bone,DET,101.8,104.7,-2.9,23.5,4,26.7,0,9.1,3.9,6.7,30,30,17.1,98.21,1.1,110
Kevin Hervey,OKC,72.7,101.7,-28.9,19.2,0,15.6,1.2,21.6,8.8,0,31.5,31.5,18.9,110.96,6.2,121
Louis King,DET,109.4,98.4,11,12.5,2.5,17.2,1.5,14.1,7.6,6.9,47.6,44.8,16.3,96.85,4.3,128
Miye Oni,UTA,111.4,119.9,-8.6,5.1,1,9.5,4.4,12.1,8,9.5,48.4,51.2,14.6,100.11,5.3,229
Nigel Williams-Goss,UTA,99.1,94.5,4.5,15.8,2,23.1,3.7,7,5.4,11.5,37.5,41.5,16.1,105.05,4.9,108
Paul Watson,TOR,115.8,99.5,16.3,10.7,2.67,19.5,2,16.3,8.8,7.3,46.2,51.7,14.2,107.6,9.5,196
